,GstIn,LongName,PartyBillNo,PartyBillDate,SubGlAcNo,TrnDate,TrnNO,SysTaxableValue,SysCGstAmt,SysSGstAmt,SysIGstAmt,SysInvoiceValue,SysRate,PortalGstIn,PortalLongName,PortalInvoiceNo,PortalInvoiceDate,PortalTrnDate,IsReverse,InvoiceType,PortalRate,PortalTaxableValue,PortalIGstAmt,PortalCGstAmt,PortalSGstAmt,PortalInvoiceValue,PrnTrnNo,PrnTrnDate,MatchStatus,SortDate,SortInvNo,RtnStatus,SysStateName,EmailId,Period,FromDate,ToDate,StrTrnNo,SysInvoiceType,IsMultiple,Gstr1Status,Gstr3BStatus,PrnMonthDate,MonthName
0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,265/24-25,20240601,1011201016,20240601,101242520611060029,29651.4,2669.0,2669.0,0.0,34989.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,265/24-25,01/06/2024,01/06/2024,No,R,18.0,29651.4,0.0,2668.63,2668.63,34989.0,060029,01/06/2024,Match,20240601,265/24-25,,Maharashtra,shaguncasting@gmail.com,Jun 2024,20240601,20240630,101242520611060029,,0,,,,
1,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,266/24-25,20240602,1011201016,20240604,101242520611060162,63204.3,5688.0,5688.0,0.0,74580.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,266/24-25,02/06/2024,02/06/2024,No,R,18.0,63204.3,0.0,5688.39,5688.39,74581.0,060162,04/06/2024,Match,20240602,266/24-25,,Maharashtra,shaguncasting@gmail.com,Jun 2024,20240601,20240630,101242520611060162,,0,,,,
2,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,271/24-25,20240604,1011201016,20240605,101242520611060320,39015.0,3511.0,3511.0,0.0,46037.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,271/24-25,04/06/2024,04/06/2024,No,R,18.0,39015.0,0.0,3511.35,3511.35,46038.0,060320,05/06/2024,Match,20240604,271/24-25,,Maharashtra,shaguncasting@gmail.com,Jun 2024,20240601,20240630,101242520611060320,,0,,,,
3,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,274/24-25,20240605,1011201016,20240606,101242520611060407,40575.6,3652.0,3652.0,0.0,47880.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,274/24-25,05/06/2024,05/06/2024,No,R,18.0,40575.6,0.0,3651.8,3651.8,47879.0,060407,06/06/2024,Match,20240605,274/24-25,,Maharashtra,shaguncasting@gmail.com,Jun 2024,20240601,20240630,101242520611060407,,0,,,,
4,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,276/24-25,20240605,1011201016,20240606,101242520611060386,38234.7,3441.0,3441.0,0.0,45117.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,276/24-25,05/06/2024,05/06/2024,No,R,18.0,38234.7,0.0,3441.12,3441.12,45117.0,060386,06/06/2024,Match,20240605,276/24-25,,Maharashtra,shaguncasting@gmail.com,Jun 2024,20240601,20240630,101242520611060386,,0,,,,
5,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,286/24-25,20240606,1011201016,20240607,101242520611060578,84272.4,7585.0,7585.0,0.0,99442.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,286/24-25,06/06/2024,06/06/2024,No,R,18.0,84272.4,0.0,7584.52,7584.52,99441.0,060578,07/06/2024,Match,20240606,286/24-25,,Maharashtra,shaguncasting@gmail.com,Jun 2024,20240601,20240630,101242520611060578,,0,,,,
6,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,refer sourcing mail,20240606,1011201016,20240606,101242520414060005,100.0,9.0,9.0,0.0,118.0,18.0,,SHAGUN CASTING PVT LTD,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,060005,06/06/2024,Unmatch,20240606,refer sourcing mail,,Maharashtra,shaguncasting@gmail.com,Jun 2024,20240601,20240630,101242520414060005,,0,,,,
7,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,292/24-25,20240608,1011201016,20240609,101242520611060853,60083.1,5407.0,5407.0,0.0,70897.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,292/24-25,08/06/2024,08/06/2024,No,R,18.0,60083.1,0.0,5407.48,5407.48,70898.0,060853,09/06/2024,Match,20240608,292/24-25,,Maharashtra,shaguncasting@gmail.com,Jun 2024,20240601,20240630,101242520611060853,,0,,,,
8,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,318/24-25,20240613,1011201016,20240614,101242520611061493,88173.9,7936.0,7936.0,0.0,104046.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,318/24-25,13/06/2024,13/06/2024,No,R,18.0,88173.9,0.0,7935.65,7935.65,104045.0,061493,14/06/2024,Match,20240613,318/24-25,,Maharashtra,shaguncasting@gmail.com,Jun 2024,20240601,20240630,101242520611061493,,0,,,,
9,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,329/24-25,20240614,1011201016,20240615,101242520611061638,96757.2,8708.0,8708.0,0.0,114173.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,329/24-25,14/06/2024,14/06/2024,No,R,18.0,96757.2,0.0,8708.15,8708.15,114174.0,061638,15/06/2024,Match,20240614,329/24-25,,Maharashtra,shaguncasting@gmail.com,Jun 2024,20240601,20240630,101242520611061638,,0,,,,
10,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,336/24-25,20240616,1011201016,20240618,101242520611061844,30431.7,2739.0,2739.0,0.0,35910.0,18.0,27AACCS5267J1Z0,SHAGUN CASTING PVT LTD,336/24-25,16/06/2024,16/06/2024,No,R,18.0,30431.7,0.0,2738.85,2738.85,35909.0,061844,18/06/2024,Match,20240616,336/24-25,,Maharashtra,shaguncasting@gmail.com,Jun 2024,20240601,20240630,101242520611061844,,0,,,,
